valor_ipc,categoria_gasto,fecha_iso,indicador
119.942,IPC General,2025-12-01,IPC_Indice_Base_2021_INE
119.532,IPC General,2025-11-01,IPC_Indice_Base_2021_INE
119.301,IPC General,2025-10-01,IPC_Indice_Base_2021_INE
118.485,IPC General,2025-09-01,IPC_Indice_Base_2021_INE
118.824,IPC General,2025-08-01,IPC_Indice_Base_2021_INE
118.777,IPC General,2025-07-01,IPC_Indice_Base_2021_INE
118.867,IPC General,2025-06-01,IPC_Indice_Base_2021_INE
118.077,IPC General,2025-05-01,IPC_Indice_Base_2021_INE
117.997,IPC General,2025-04-01,IPC_Indice_Base_2021_INE
117.26,IPC General,2025-03-01,IPC_Indice_Base_2021_INE
117.191,IPC General,2025-02-01,IPC_Indice_Base_2021_INE
116.733,IPC General,2025-01-01,IPC_Indice_Base_2021_INE
116.534,IPC General,2024-12-01,IPC_Indice_Base_2021_INE
116.01,IPC General,2024-11-01,IPC_Indice_Base_2021_INE
115.726,IPC General,2024-10-01,IPC_Indice_Base_2021_INE
115.009,IPC General,2024-09-01,IPC_Indice_Base_2021_INE
115.707,IPC General,2024-08-01,IPC_Indice_Base_2021_INE
115.66,IPC General,2024-07-01,IPC_Indice_Base_2021_INE
116.212,IPC General,2024-06-01,IPC_Indice_Base_2021_INE
115.776,IPC General,2024-05-01,IPC_Indice_Base_2021_INE
115.472,IPC General,2024-04-01,IPC_Indice_Base_2021_INE
114.674,IPC General,2024-03-01,IPC_Indice_Base_2021_INE
113.807,IPC General,2024-02-01,IPC_Indice_Base_2021_INE
113.404,IPC General,2024-01-01,IPC_Indice_Base_2021_INE
113.308,IPC General,2023-12-01,IPC_Indice_Base_2021_INE
113.28,IPC General,2023-11-01,IPC_Indice_Base_2021_INE
113.676,IPC General,2023-10-01,IPC_Indice_Base_2021_INE
113.348,IPC General,2023-09-01,IPC_Indice_Base_2021_INE
113.149,IPC General,2023-08-01,IPC_Indice_Base_2021_INE
112.544,IPC General,2023-07-01,IPC_Indice_Base_2021_INE
112.354,IPC General,2023-06-01,IPC_Indice_Base_2021_INE
111.719,IPC General,2023-05-01,IPC_Indice_Base_2021_INE
111.773,IPC General,2023-04-01,IPC_Indice_Base_2021_INE
111.111,IPC General,2023-03-01,IPC_Indice_Base_2021_INE
110.703,IPC General,2023-02-01,IPC_Indice_Base_2021_INE
109.668,IPC General,2023-01-01,IPC_Indice_Base_2021_INE
109.899,IPC General,2022-12-01,IPC_Indice_Base_2021_INE
109.734,IPC General,2022-11-01,IPC_Indice_Base_2021_INE
109.866,IPC General,2022-10-01,IPC_Indice_Base_2021_INE
109.498,IPC General,2022-09-01,IPC_Indice_Base_2021_INE
110.265,IPC General,2022-08-01,IPC_Indice_Base_2021_INE
109.986,IPC General,2022-07-01,IPC_Indice_Base_2021_INE
110.267,IPC General,2022-06-01,IPC_Indice_Base_2021_INE
108.262,IPC General,2022-05-01,IPC_Indice_Base_2021_INE
107.375,IPC General,2022-04-01,IPC_Indice_Base_2021_INE
107.566,IPC General,2022-03-01,IPC_Indice_Base_2021_INE
104.403,IPC General,2022-02-01,IPC_Indice_Base_2021_INE
103.567,IPC General,2022-01-01,IPC_Indice_Base_2021_INE
103.965,IPC General,2021-12-01,IPC_Indice_Base_2021_INE
102.738,IPC General,2021-11-01,IPC_Indice_Base_2021_INE
102.425,IPC General,2021-10-01,IPC_Indice_Base_2021_INE
100.575,IPC General,2021-09-01,IPC_Indice_Base_2021_INE
99.743,IPC General,2021-08-01,IPC_Indice_Base_2021_INE
99.292,IPC General,2021-07-01,IPC_Indice_Base_2021_INE
100.046,IPC General,2021-06-01,IPC_Indice_Base_2021_INE
99.572,IPC General,2021-05-01,IPC_Indice_Base_2021_INE
99.105,IPC General,2021-04-01,IPC_Indice_Base_2021_INE
97.949,IPC General,2021-03-01,IPC_Indice_Base_2021_INE
97.008,IPC General,2021-02-01,IPC_Indice_Base_2021_INE
97.583,IPC General,2021-01-01,IPC_Indice_Base_2021_INE
97.574,IPC General,2020-12-01,IPC_Indice_Base_2021_INE
